#1+z Log10(Mass/Msun) Log10(Median_SFR_for_SF_Halos/(Msun/yr)) One-sigma-uncertainty(dex)
1.05682 12.5 0.419669 0.194507
1.05682 12.55 0.431643 0.199389
1.05682 12.6 0.443436 0.202818
1.05682 12.65 0.455085 0.211874
1.05682 12.7 0.46662 0.216111
1.05682 12.75 0.478065 0.221171
1.05682 12.8 0.489439 0.228585
1.05682 12.85 0.500756 0.235655
1.05682 12.9 0.512028 0.243554
1.05682 12.95 0.523265 0.247645
1.05682 13 0.534474 0.255659
1.05682 13.05 0.545662 0.261584
1.05682 13.1 0.556831 0.265235
1.05682 13.15 0.567987 0.273863
1.05682 13.2 0.579133 0.283075
1.05682 13.25 0.590269 0.290886
1.05682 13.3 0.601399 0.298273
1.05682 13.35 0.612524 0.303841
1.05682 13.4 0.623644 0.312989
1.05682 13.45 0.634761 0.320015
1.05682 13.5 0.645875 0.326278
1.05682 13.55 0.656987 0.33074
1.05682 13.6 0.668098 0.338985
1.05682 13.65 0.679207 0.347864
1.05682 13.7 0.690315 0.356626
1.05682 13.75 0.701423 0.364476
1.05682 13.8 0.712529 0.374488
1.05682 13.85 0.723636 0.381228
1.05682 13.9 0.734742 0.385941
1.05682 13.95 0.745847 0.392343
1.05682 14 0.756953 0.402304
1.05682 14.05 0.768058 0.410343
1.05682 14.1 0.779163 0.419253
1.05682 14.15 0.790268 0.426727
1.05682 14.2 0.801372 0.432266
1.05682 14.25 0.812477 0.440361
1.05682 14.3 0.823582 0.448442
1.05682 14.35 0.834686 0.456061
1.05682 14.4 0.845791 0.463902
1.05682 14.45 0.856895 0.472414
1.05682 14.5 0.868 0.480278
1.05682 14.55 0.879104 0.490331
1.05682 14.6 0.890209 0.500623
1.05682 14.65 0.901313 0.509862
1.05682 14.7 0.912417 0.518824
1.05682 14.75 0.923522 0.526986
1.05682 14.8 0.934626 0.536364
1.05682 14.85 0.945731 0.545832
1.05682 14.9 0.956835 0.555083
1.05682 14.95 0.967939 0.563497
1.05682 15 0.979044 0.573151
1.0666 10 -3.24576 0.21685
1.0666 10.05 -3.13209 0.208676
1.0666 10.1 -3.01844 0.196065
1.0666 10.15 -2.90482 0.188245
1.0666 10.2 -2.79124 0.178568
1.0666 10.25 -2.67769 0.173607
1.0666 10.3 -2.5642 0.169019
1.0666 10.35 -2.45076 0.165747
1.0666 10.4 -2.33738 0.164302
1.0666 10.45 -2.22405 0.159326
1.0666 10.5 -2.11075 0.15342
1.0666 10.55 -1.99741 0.152844
1.0666 10.6 -1.88396 0.145246
